new_id,id,assoc_wdid,assoc_stream_id,water_division,water_district,stream_name,structure_category,location_on_google_maps,latitude,longitude,ah_tot_score,ph_tot_score,rec_tot_score,wc_tot_score
34,53,200812,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@40.0349905364672,-104.829433843949,20z",40.035,-104.8294,0.234320811,0.374843218,0.657521389,0.367725034
35,55,200810,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.9739271963522,-104.850873424432,20z",39.9739,-104.8509,0.288303192,0.179537717,0.327216669,0.397451368
36,58,200809,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.9064029354398,-104.89527923338,20z",39.9064,-104.8953,0.181978271,0.18706325,0.325278617,0.33227522
37,60,,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.8922149982436,-104.90107345278,20z",39.8922,-104.9011,0.153005464,0.187600788,0.326537171,0.340078775
38,76,202955,201759,1,2,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.7545381791019,-105.008876768312,20z",39.7545,-105.0089,0.158005465,0.392940333,0.659059178,0.283978812
39,80,,201759,1,8,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.714893334168,-105.001844703985,20z",39.7149,-105.0018,0.209974029,0.194051245,0.326176102,0.228148027
40,103,801006,201759,1,8,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.4849021930996,-105.104095232578,20z",39.4849,-105.1041,0.625081014,0.17864182,0.293545351,0.52204336
41,104,801004,201759,1,8,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.482856755804,-105.116001001481,20z",39.4829,-105.116,0.588787322,0.178462641,0.292159414,0.50715452
42,109,2300693,201759,1,23,South Platte River,Diversion Dam,"https://www.google.com/maps/@38.9680396693679,-105.367064720368,20z",38.968,-105.3671,0.498810285,0.341874216,0.52143591,0.604466971
43,113,2300707,201759,1,23,South Platte River,Diversion Dam,"https://www.google.com/maps/@39.0049490003635,-105.717019999584,20z",39.0049,-105.717,0.624706939,0.277369647,0.476255919,0.652402995
44,114,300937,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.422340443465,-104.670235323319,20z",40.4223,-104.6702,0.388851218,0.149793944,0.349754299,0.35038305
45,117,300934,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.4433905865911,-104.799016330825,20z",40.4434,-104.799,0.486454199,0.151048199,0.327517175,0.26835178
46,118,300932,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.4425381924816,-104.848178309203,20z",40.4425,-104.8482,0.415817192,0.151585737,0.327361026,0.224325739
47,119,300931,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.4697612381382,-104.934223688148,20z",40.4698,-104.9342,0.396229911,0.151406558,0.330343008,0.32753585
48,120,300930,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.4711564765107,-104.935447063457,20z",40.4712,-104.9354,0.345400327,0.151227379,0.327582026,0.040619063
49,122,300929,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.5018549996835,-104.967173219648,20z",40.5019,-104.9672,0.298541976,0.150152302,0.325714825,0.362651921
50,124,302301,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.5593353560879,-105.019763185391,20z",40.5593,-105.0198,0.622993095,0.147464612,0.32629622,0.4447943
51,125,302908,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.5645697870721,-105.025455344121,20z",40.5646,-105.0255,0.495319945,0.147106253,0.32629622,0.508911423
52,127,,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.5770499722738,-105.047454718271,20z",40.577,-105.0475,0.196068782,0.146747895,0.326290142,0.253819747
53,130,300922,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.5980426551058,-105.079228235034,20z",40.598,-105.0792,0.377932205,0.148360509,0.326216716,0.317402771
54,133,300919,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6120296651021,-105.106811877769,20z",40.612,-105.1068,0.451315151,0.149435585,0.319425516,0.341004864
55,134,300918,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6116574303675,-105.112986062625,20z",40.6117,-105.113,0.461899439,0.149614764,0.319566081,0.415350359
56,136,300914,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6260194297607,-105.151445002752,20z",40.626,-105.1514,0.369113405,0.148718868,0.306065949,0.526641796
57,137,300912,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6308219264285,-105.16794785813,20z",40.6308,-105.1679,0.362369034,0.14818133,0.301919368,0.471449904
58,138,300912,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6326278224356,-105.168648373329,20z",40.6326,-105.1686,0.5737832,0.344561906,0.300682061,0.40277371
59,139,,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6416559976846,-105.172568538254,20z",40.6417,-105.1726,0.39791136,0.147285433,0.294622687,0.558107265
60,140,300911,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.656280835613,-105.185342219371,20z",40.6563,-105.1853,0.414729381,0.146568715,0.283917681,0.498313906
61,141,300910,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6605202791093,-105.203482440804,20z",40.6605,-105.2035,0.465667042,0.343307651,0.604029701,0.577202816
62,142,300908,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.664348697683,-105.216837470912,20z",40.6643,-105.2168,0.470480431,0.343128472,0.598168431,0.494293931
63,143,300907,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6706684783717,-105.227826375669,20z",40.6707,-105.2278,0.562839723,0.342949292,0.59156083,0.573769935
64,144,300906,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.7010328524501,-105.247676216525,20z",40.701,-105.2477,0.560320936,0.342053395,0.569365284,0.50511971
65,145,300905,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.6917698402952,-105.255308806059,20z",40.6918,-105.2553,0.776090528,0.145672818,0.245793696,0.64879429
66,146,,205018,1,3,Cache la Poudre River,Diversion Dam,"https://www.google.com/maps/@40.7026144219797,-105.718271783879,20z",40.7026,-105.7183,0.77739326,0.139222362,0.119439381,0.508251014
67,147,400517,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/maps/@40.3462206833118,-104.791578102664,20z",40.3462,-104.7916,0.317314271,0.155706863,0.325866801,0.356540794
68,148,402805,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/maps/@40.3461940453067,-104.891447755514,20z",40.3462,-104.8914,0.495332926,0.157140297,0.32549105,0.311288886
69,149,400522,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/maps/@40.3869485716956,-104.950180124002,20z",40.3869,-104.9502,0.477962393,0.154810966,0.325965716,0.264783864
70,150,400523,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/pswwater@msn.commaps/@40.3859243972705,-105.014758480088,20z",40.3859,-105.0148,0.44946604,0.155527683,0.326027108,0.220825828
71,154,400519,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/maps/@40.3912475367437,-105.083412766409,20z",40.3912,-105.0834,0.461917275,0.154631786,0.326246407,0.391236432
72,155,400532,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/maps/@40.3978752225363,-105.106407023237,20z",40.3979,-105.1064,0.438309719,0.154094248,0.327458181,0.428659501
73,158,400501,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/maps/@40.4058582516018,-105.142873846809,20z",40.4059,-105.1429,0.635857037,0.153377531,0.327880343,0.636418229
74,159,400520,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/maps/@40.4173434539152,-105.180203221289,20z",40.4173,-105.1802,0.647069565,0.152839993,0.31138383,0.499787647
75,160,400530,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/maps/@40.4174925382151,-105.189935832366,20z",40.4175,-105.1899,0.650736544,0.152660813,0.306627628,0.472998697
76,161,400543,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/maps/@40.4173200600315,-105.191838610588,20z",40.4173,-105.1918,0.622749369,0.152481634,0.30576635,0.534102609
77,163,400521,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/maps/@40.4214870008019,-105.224921805176,20z",40.4215,-105.2249,0.606205595,0.34922057,0.616402462,0.495752694
78,165,400540,205019,1,4,Big Thompson River,Diversion Dam,"https://www.google.com/maps/@40.4184018866817,-105.243930676535,20z",40.4184,-105.2439,0.700484041,0.34904139,0.608248594,0.646417045
79,168,400587,177961,1,4,Little Thompson River,Diversion Dam,"https://www.google.com/maps/@40.3298753699915,-104.876139251113,20z",40.3299,-104.8761,0.530342368,0.159648808,0.327558199,0.400621755
80,169,400599,177961,1,4,Little Thompson River,Diversion Dam,"https://www.google.com/maps/@40.300698149019,-104.983415544697,20z",40.3007,-104.9834,0.477600527,0.161261423,0.329829615,0.359532542
81,170,400601,177961,1,4,Little Thompson River,Diversion Dam,"https://www.google.com/maps/@40.2936432256559,-105.061782831849,20z",40.2936,-105.0618,0.498268318,0.161619781,0.32700466,0.408290992
82,171,400600,177961,1,4,Little Thompson River,Diversion Dam,"https://www.google.com/maps/@40.2786568081838,-105.091841461042,20z",40.2787,-105.0918,0.536841152,0.162694858,0.325044175,0.378711876
83,172,400603,177961,1,4,Little Thompson River,Diversion Dam,"https://www.google.com/maps/@40.257457331834,-105.167281291633,20z",40.2575,-105.1673,0.598420122,0.16466583,0.289410721,0.387113983
84,173,400588,177961,1,4,Little Thompson River,Diversion Dam,"https://www.google.com/maps/@40.2590652399259,-105.17600406731,20z",40.2591,-105.176,0.536148269,0.164307472,0.287131689,0.503681768
85,174,400602,177961,1,4,Little Thompson River,Diversion Dam,"https://www.google.com/maps/@40.2592407897136,-105.200006041559,20z",40.2592,-105.2,0.562925138,0.163411575,0.291997098,0.601496389
86,175,,177961,1,4,Little Thompson River,Diversion Dam,"https://www.google.com/maps/@40.2848559284095,-105.249692529732,20z",40.2849,-105.2497,0.700084155,0.161082243,0.298309126,0.606338728
87,176,500939,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.2467986547937,-104.88429710314,20z",40.2468,-104.8843,0.310574133,0.1675327,0.319191155,0.355523138
88,180,500589,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.1700001856135,-104.991840456448,20z",40.17,-104.9918,0.229447276,0.369109479,0.652633699,0.384476574
89,181,,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.1492165116992,-105.035999120116,20z",40.1492,-105.036,0.254144522,0.370363734,0.656332831,0.320287113
90,188,500559,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.1680572985294,-105.141757612457,20z",40.1681,-105.1418,0.357236778,0.169862032,0.326600405,0.33444414
91,189,500558,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.1744337691755,-105.163522768582,20z",40.1744,-105.1635,0.377920789,0.169682853,0.323447078,0.334098166
92,190,500554,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.1756305449014,-105.168783684289,20z",40.1756,-105.1688,0.398818387,0.169503673,0.322848484,0.30472687
93,191,500557,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.1758930983807,-105.168811637934,20z",40.1759,-105.1688,0.503772128,0.169324494,0.322660016,0.378716448
94,193,500601,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.1885894553371,-105.197096819716,20z",40.1886,-105.1971,0.609020297,0.168786956,0.309695182,0.436131421
95,194,500547,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.1972460801955,-105.207797559469,20z",40.1972,-105.2078,0.643989797,0.168249418,0.305681262,0.45361748
96,195,500545,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.2044208811571,-105.219602688645,20z",40.2044,-105.2196,0.713707864,0.167891059,0.312740874,0.456204378
97,196,500545,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.20493105404,-105.221026266662,20z",40.2049,-105.221,0.713707864,0.16771188,0.31352003,0.456204378
98,197,,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.208195513302,-105.229530737579,20z",40.2082,-105.2295,0.713842989,0.167174342,0.318459114,0.457891135
99,199,500529,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.211613481145,-105.251557136675,20z",40.2116,-105.2516,0.587759874,0.166815983,0.325524517,0.484955923
100,200,500527,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.2124031604091,-105.252857876442,20z",40.2124,-105.2529,0.421933173,0.166636803,0.325576279,0.532676928
101,201,500526,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.2154431116453,-105.259274720771,20z",40.2154,-105.2593,0.40423646,0.363375739,0.652441506,0.485405388
102,204,500523,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.218995796681,-105.261414120197,20z",40.219,-105.2614,0.545788557,0.362838201,0.652460888,0.36687982
103,205,500523,205012,1,5,Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.219980597131,-105.26263848362,20z",40.22,-105.2626,0.545766494,0.362659022,0.652432305,0.366854935
104,217,500511,178190,1,5,North Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.2293567159102,-105.345913829252,20z",40.2294,-105.3459,0.619269165,0.160903064,0.294368527,0.216271873
105,219,,178190,1,5,North Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.2156872886668,-105.363328907696,20z",40.2157,-105.3633,0.587770446,0.357642,0.611851213,0.509317778
106,222,500522,178246,1,5,South Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.213811141806,-105.277280121264,20z",40.2138,-105.2773,0.697205999,0.362479842,0.649709995,0.594374382
107,223,500603,178246,1,5,South Saint Vrain Creek,Diversion Dam,"https://www.google.com/maps/@40.091340083675,-105.508677504322,20z",40.0913,-105.5087,0.713979517,0.159469629,0.317767458,0.543910991
108,224,600551,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.1249333305666,-105.022778815976,20z",40.1249,-105.0228,0.22932015,0.173983157,0.327444443,0.331442555
109,225,,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.1093863671455,-105.036863536722,20z",40.1094,-105.0369,0.268677803,0.174162336,0.327284291,0.319623004
110,226,600527,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0931770507335,-105.054235350236,20z",40.0932,-105.0542,0.306430905,0.176312489,0.32542931,0.494168483
111,230,,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0506201192386,-105.122579078162,20z",40.0506,-105.1226,0.377906567,0.177208386,0.321569943,0.314248334
112,231,,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0493331203054,-105.126594224521,20z",40.0493,-105.1266,0.377906567,0.176850027,0.321365164,0.314248334
113,232,600538,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0468956028483,-105.129014999425,20z",40.0469,-105.129,0.377872641,0.177745924,0.321304083,0.315545517
114,233,600538,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0477442205426,-105.130572317839,20z",40.0477,-105.1306,0.377872221,0.177029206,0.32033738,0.390117579
115,234,600550,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0529839420743,-105.150753947043,20z",40.053,-105.1508,0.330385368,0.176491668,0.310199746,0.365228144
116,237,,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0407163627052,-105.198712149551,20z",40.0407,-105.1987,0.352379901,0.175416592,0.318822963,0.469358424
117,238,600528,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0364002982682,-105.205773613359,20z",40.0364,-105.2058,NA,0.175595771,NA,NA
118,245,600518,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0282639362389,-105.223008896562,20z",40.0283,-105.223,0.245967276,0.174879054,0.325099008,0.359302675
119,246,600513,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0149159504364,-105.27872016143,20z",40.0149,-105.2787,0.244700907,0.567640208,0.653987676,0.386266045
120,247,600525,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0138964781064,-105.300325459464,20z",40.0139,-105.3003,0.279887494,0.566744311,0.652436517,0.484094009
121,248,600501,178354,1,6,Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0128121232328,-105.301142605604,20z",40.0128,-105.3011,0.522462347,0.56692349,0.652321578,0.594725793
122,252,,178467,1,6,North Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0055777613768,-105.426527315228,20z",40.0056,-105.4265,0.492122024,0.365346712,0.618443968,0.59692697
123,253,,178467,1,6,North Boulder Creek,Diversion Dam,"https://www.google.com/maps/@39.9899084599699,-105.501955163749,20z",39.9899,-105.502,0.587750491,0.165024189,0.317318041,0.500344918
124,260,600599,178467,1,6,North Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0136834946048,-105.55785592748,20z",40.0137,-105.5579,0.663822379,0.159827988,0.294935973,0.509978742
125,261,,178467,1,6,North Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0280101459381,-105.573790679621,20z",40.028,-105.5738,0.411416567,0.156602759,0.289443837,0.509424212
126,262,,178467,1,6,North Boulder Creek,Diversion Dam,"https://www.google.com/maps/@40.0279422397189,-105.574094692002,20z",40.0279,-105.5741,0.411416567,0.15642358,0.289292029,0.360295
127,272,700547,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.8159549866518,-105.001742691267,20z",39.816,-105.0017,0.193122876,0.192080272,0.31781867,0.304149368
128,274,,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.8088372384539,-105.015610927437,20z",39.8088,-105.0156,0.265960516,0.192438631,0.319643092,0.251716297
129,275,700570,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7978884770459,-105.034441145974,20z",39.7979,-105.0344,0.237898145,0.191005196,0.322227224,0.25163172
130,276,700570,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7978833131776,-105.034858142001,20z",39.7979,-105.0349,0.115452394,0.190826017,0.322225772,0.298784448
131,282,700527,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7725577763257,-105.155844998161,20z",39.7726,-105.1558,0.167942705,0.186346533,0.326084001,0.358853157
132,283,,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7724107164295,-105.158649321763,20z",39.7724,-105.1586,0.16794296,0.186167354,0.325780357,0.358853444
133,284,,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7722557177008,-105.160041148248,20z",39.7723,-105.16,0.167942834,0.185808995,0.325771597,0.358853302
134,285,700647,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7722773579895,-105.161448537083,20z",39.7723,-105.1614,0.167942834,0.185629815,0.325774555,0.358853302
135,286,,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7721333591175,-105.164320610854,20z",39.7721,-105.1643,0.167943245,0.185450636,0.325656171,0.358853765
136,289,,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7719919286983,-105.168562814174,20z",39.772,-105.1686,0.167942138,0.184733919,0.324124917,0.358852517
137,290,700726,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7716586951506,-105.169971027501,20z",39.7717,-105.17,0.167943638,0.184554739,0.323415481,0.358854209
138,291,,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.771606057904,-105.176078427828,20z",39.7716,-105.1761,0.167995616,0.184017201,0.323594617,0.358912836
139,297,700553,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7682628523197,-105.193928034474,20z",39.7683,-105.1939,0.195973912,0.182762946,0.324756746,0.382229381
140,298,,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7680052898769,-105.200379217796,20z",39.768,-105.2004,0.210012268,0.182583766,0.325621249,0.456382518
141,299,700601,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7647432408273,-105.206682456713,20z",39.7647,-105.2067,0.2099202,0.182404587,0.324947593,0.456278672
142,300,700698,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7644653873265,-105.207789154154,20z",39.7645,-105.2078,0.2099202,0.182225408,0.325134209,0.436673139
143,301,702314,181805,1,7,Clear Creek,Diversion Dam,"https://www.google.com/maps/@39.7607433203814,-105.214822518097,20z",39.7607,-105.2148,0.209979988,0.182046228,0.32609306,0.436740576
